seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
45,post_processing,45.0,-0.08571428571428572,0.0025714285714285995,-0.004285714285714301,-0.0003428571428571209
45,post_processing,60.0,-0.08571428571428572,-0.0019999999999999983,-0.0031428571428572002,-0.0009714285714285
45,post_processing,90.0,-0.08571428571428572,0.0005714285714285999,-0.0008571428571428,-0.0007428571428571
45,reweighing,30.0,-0.2285714285714285,-0.021428571428571408,-0.0331428571428571,0.0017959183673469
45,reweighing,45.0,-0.2285714285714285,0.0025714285714285995,-0.0108571428571428,0.0006367346938775
45,reweighing,60.0,-0.2285714285714285,-0.0019999999999999983,-0.0057142857142857,-0.0006857142857142
45,reweighing,90.0,-0.2285714285714285,0.0005714285714285999,-0.0008571428571428,-0.000334693877551
46,none,30.0,0.12121212121212122,-0.0014141414141413955,0.0197979797979798,0.0012427303336393
46,none,45.0,0.12121212121212122,0.006161616161616201,0.013939393939394,0.005090296908478601
46,none,60.0,0.12121212121212122,-0.0031313131313132,0.0045454545454546,0.0018426691153963
46,none,90.0,0.12121212121212122,-0.00010101010101009906,0.0010101010101010001,8.87664524028e-05
46,post_processing,30.0,0.01010101010101011,-0.0014141414141413955,0.0009090909090909011,-0.0003622079379655
46,post_processing,45.0,0.01010101010101011,0.006161616161616201,0.0039393939393939995,0.0020038771553923
46,post_processing,60.0,0.01010101010101011,-0.0031313131313132,0.00010101010101009993,0.0004846444240384
46,post_processing,90.0,0.01010101010101011,-0.00010101010101009906,-0.00010101010101009993,-0.00015814712784410003
46,reweighing,30.0,0.09090909090909091,-0.0014141414141413955,0.014040404040404096,0.00024181205999389998
46,reweighing,45.0,0.09090909090909091,0.006161616161616201,0.011515151515151499,0.0043648607284970005
46,reweighing,60.0,0.09090909090909091,-0.0031313131313132,0.003939393939394,0.002173247627793
46,reweighing,90.0,0.09090909090909091,-0.00010101010101009906,0.0007070707070707001,2.4487297214600002e-05
47,none,30.0,-0.2162162162162162,-0.003621621621621579,-0.0313513513513513,-0.0007304601899196
47,none,45.0,-0.2162162162162162,-0.008864864864864798,-0.0132432432432432,-0.0013805697589481
47,none,60.0,-0.2162162162162162,-0.0077837837837837,-0.0062162162162162,-0.0010737764791818
47,none,90.0,-0.2162162162162162,0.0044864864864865,-0.0008108108108108,-5.113221329437539e-05
47,post_processing,30.0,-0.3513513513513513,-0.003621621621621579,-0.0491891891891891,0.0005697589481373
47,post_processing,45.0,-0.3513513513513513,-0.008864864864864798,-0.0216216216216216,-0.002344777209642
47,post_processing,60.0,-0.3513513513513513,-0.0077837837837837,-0.01,-0.0016435354273192
47,post_processing,90.0,-0.3513513513513513,0.0044864864864865,-0.0018918918918918,-0.0006574141709276
47,reweighing,30.0,-0.2162162162162162,-0.003621621621621579,-0.0313513513513513,-0.0007304601899196
47,reweighing,45.0,-0.2162162162162162,-0.008864864864864798,-0.0132432432432432,-0.0013805697589481
47,reweighing,60.0,-0.2162162162162162,-0.0077837837837837,-0.0062162162162162,-0.0010737764791818
47,reweighing,90.0,-0.2162162162162162,0.0044864864864865,-0.0008108108108108,-5.113221329437539e-05
48,none,30.0,-0.044117647058823484,-0.011029411764705788,-0.0114705882352941,-0.0023810553633219003
48,none,45.0,-0.044117647058823484,0.013014705882352998,0.0006617647058823999,-0.00046388408304500004
48,none,60.0,-0.044117647058823484,0.0121323529411765,0.0014705882352942,-0.0007190743944637001
